,full_name,total_words
205,GERMAN INNKEEPER,120.0
206,MR. DELMAR,118.0
207,ACTOR THOR,118.0
208,MUSEUM DIRECTOR,118.0
209,DR. LIST,116.0
210,DOCTOR,112.0
211,THOR/SELVIG,110.0
212,JIM MORITA,108.0
213,GUARD,108.0
214,SKRULL SCIENTIST,108.0
215,A1 STEVE,108.0
216,SHIELD LIEUTENANT,106.0
217,TOPAZ,106.0
218,MORGAN STARK,106.0
219,ANNOUNCER,104.0
220,ROEDER,104.0
221,PVT. LORRAINE,104.0
222,COUNCILWOMAN,104.0
223,ROSE HILLS SHERIFF,102.0
224,BETTY BRANT,102.0
225,PILOT,98.0
226,SHAMAN,98.0
227,JAMES MONTGOMERY FALSWORTH,96.0
228,ZEMO'S WIFE,96.0
229,MEREDITH QUILL,94.0
230,COACH WILSON,94.0
231,ADMISSIONS NURSE,92.0
232,TOWER KEEPER,92.0
233,POLICE SERGEANT,92.0
234,COMMITTEE GENERAL,92.0
235,NEWS ANCHOR #1,92.0
236,TOM,92.0
237,A1 TONY,92.0
238,FRANK,90.0
239,PROXIMA MIDNIGHT,90.0
240,HEAD ENGINEER,88.0
241,SCHNEIDER,88.0
242,MRS. DAVIS,86.0
243,MS. WARREN,84.0
244,EINHERJAR GUARD,82.0
245,HEINZ KRUGER,82.0
246,HOSPITAL NEWS REPORTER,82.0
247,RANDY,82.0
248,GRIOT,82.0
249,MARSHAL,80.0
250,DRUNK TOWNIE,80.0
251,TOUR GUIDE,80.0
252,HUTTER,78.0
253,FEMALE WAR VETERAN,78.0
254,SCUDDER,78.0
255,ADMIRAL,78.0
256,A1 THOR,78.0
257,SHIELD TECH,76.0
258,SHIELD COMPUTER,76.0
259,PRINCIPAL MORITA,76.0
260,ABRAHAM BROWN,74.0
261,POLICE,74.0
262,MEDICAL EXAMINER,74.0
263,GUARD #2,72.0
264,MADAME B,72.0
265,WOMAN,70.0
266,LIBRARIAN,70.0
267,GILMORE HODGE,70.0
268,APPLE EMPLOYEE,70.0
269,M.P.,70.0
270,AGENT,68.0
271,MAN ON THE RADIO,68.0
272,BRON-CHAR,68.0
273,ISABELA,66.0
274,AKIHIKO,66.0
275,4F DOCTOR,62.0
276,WAITRESS,62.0
277,GEF THE RAVAGER,62.0
278,MODERATOR,62.0
279,SOREN,62.0
280,YOUNG GIRL,60.0
281,CARRIER BRIDGE TECH 1,60.0
282,COM TECH #1,60.0
283,CHARLIE WEAPONS TECH,60.0
284,DESK OFFICER,58.0
285,GEORGES BATROC,58.0
286,SPECIALIST CAMERON KLEIN,58.0
287,TULLK,58.0
288,OAKLAND KID #3,58.0
289,TECHNICIAN,56.0
290,TOWNIE PETE,56.0
291,JOAN RIVERS,56.0
292,MILITARY AIDE,56.0
293,ICE CREAM STORE CUSTOMER,56.0
294,CINDY MOON,56.0
295,LOUD JERK,54.0
296,EMCEE,54.0
297,CHAMBERMAID,54.0
298,ATT-LASS,54.0
299,IRON MAN JIMMY,52.0
300,POLICE OFFICER #1,52.0
301,DELIVERY TRUCK DRIVER,52.0
302,CORVUS GLAIVE,52.0
303,VERS' BROTHER,52.0
304,STUDENT,50.0
305,CHARLIE XO,50.0
306,SECURITY,50.0
307,COLLECTOR,50.0
308,RONIN,50.0
309,FEMALE SHIELD AGENT,50.0
310,REPORTER #2,48.0
311,JACK,48.0
312,MALE REPORTER,48.0
313,THE SENATOR,48.0
314,FRENCH PIRATE,48.0
315,RETCH,48.0
316,OAKLAND KID #1,48.0
317,NEWS READER,46.0
318,COUNCILWOMAN HAWLEY,46.0
319,FORTRESS SOLDIER,46.0
320,STARK'S ASSISTANT,46.0
321,QUINJET,46.0
322,RIVER TRIBE ELDER,46.0
323,MINING TRIBE ELDER,46.0
324,JABARI WARRIORS,46.0
325,MR. COBBWELL,44.0
326,YOUNG ZURI,44.0
327,LOKI/STEVE,44.0
328,EDWIN JARVIS,44.0
329,NURSE,42.0
330,RENATA,42.0
331,DETECTIVE,42.0
332,NEWS ANCHOR #2,42.0
333,NEWS ANCHOR #5,42.0
334,YOUNG T' CHAKA,42.0
335,CULL OBSIDIAN,42.0
336,SECURITY CHECKPOINT,42.0
337,BILL MAHER,40.0
338,BOR,40.0
339,STRIKE AGENT,40.0
340,ROBBER 1,40.0
341,KREE,40.0
342,CRAMER,38.0
343,ARMY HECKLER#1,38.0
344,MALE AGENT,38.0
345,CONTROL,38.0
346,WORKER,38.0
347,MERCHANT TRIBE ELDER,38.0
348,FRENCH AMBASSADOR,38.0
349,ELON MUSK,36.0
350,SHIELD WORKER,36.0
351,HO YINSEN,36.0
352,CHAD DAVIS,36.0
353,WOMAN ON PA,36.0
354,STRAWBERRY MAN,34.0
355,AGENT CALE,34.0
356,EXPO ANNOUNCER,34.0
357,POLICE OFFICER #2,34.0
358,PEACHY,34.0
359,PRIEST,34.0
360,LEAD SCRAPPER,34.0
361,BORDER TRIBE ELDER,34.0
362,ANTON VANKO,32.0
363,MOTHER,32.0
364,JET PILOT,32.0
365,LITTLE BOY,32.0
366,ASGARDIAN NURSE,32.0
367,CARINA,32.0
368,BAILIFF,32.0
369,LILA BARTON,32.0
370,GALE,32.0
371,NEWS ANCHOR #3,32.0
372,GSG-9 SOLDIER,32.0
373,ATTACHE,32.0
374,OAKLAND KID #2,32.0
375,MALE CITIZEN,30.0
376,COMPUTER VOICE,30.0
377,MADDIE,30.0
378,EINHERJAR LIEUTENANT,30.0
379,MAN ON PA,30.0
380,MERCENARY #1,30.0
381,OBLO,30.0
382,SON,30.0
383,NIGERIAN MILITANT #2,30.0
384,AGENT GARRETT,28.0
385,TAXI DRIVER,28.0
386,NEWS REPORTER #1,28.0
387,JACK TAGGART,28.0
388,STREET VENDOR,28.0
389,YOUNG KILLMONGER,28.0
390,PRATT,26.0
391,CONNIE,26.0
392,STARK’S ENGINEER,26.0
393,YOUNG COP,26.0
394,CREW,26.0
395,COMPUTER,26.0
396,SHIELD PILOT,26.0
397,OFFICER FITZGIBBON,26.0
398,GIRL,26.0
399,COLLEGE GIRL 1,26.0
400,DORA MILAJE 1,26.0
401,SECURITY OFFICER,26.0
402,NOVAR,24.0
403,ERIN,24.0
404,PUSHY TABLOID REPORTER,24.0
405,EIR,24.0
406,GUARDS,24.0
407,IAN,24.0
408,COUNCILMAN YEN,24.0
409,ALPHA GUARD,24.0
410,POLICE RADIO,24.0
411,MAN ON SPEAKERS,24.0
412,MAN ON PA #1,24.0
413,PARK RANGER,24.0
414,YOUNG GAMORA,24.0
415,CADETS,24.0
416,BIKER,24.0
417,A1 CLINT BARTON,24.0
418,AGENT JACKSON,22.0
419,YOUNG BOY,22.0
420,FEMALE CARRIER BRIDGE TECH,22.0
421,GERMAN OLD MAN,22.0
422,PARTY GUEST,22.0
423,NEWS REPORTER #4,22.0
424,GOVERNMENT OFFICIAL #2,22.0
425,GUARD #1,22.0
426,SCIENTIST #1,22.0
427,COM TECH #2,22.0
428,UN STAFFER,22.0
429,MAN ON PA #2,22.0
430,CAR JACKER,22.0
431,WARDEN,22.0
432,LIMBANI,22.0
433,JOSEPH DANVERS,22.0
434,SCANNER,22.0
435,TYCOON,20.0
436,BITCHING-BETTY,20.0
437,PET STORE CLERK,20.0
438,ENLISTMENT GUY,20.0
439,FACILITY MANAGER,20.0
440,SHIELD ENGINEER,20.0
441,HUSBAND,20.0
442,WIFE,20.0
443,OLD FOOTAGE RECORDING,20.0
444,QUINJET PILOT,20.0
445,COP ON SPEAKER,20.0
446,FRIGHTENED PILOT,20.0
447,BRAHL,20.0
448,MARTINEX,20.0
449,HISTORY TEACHER,20.0
450,MILITANT LEADER,20.0
451,LINDA,20.0
452,YOUNG BLACK KID,20.0
453,ACCUSER,20.0
454,CALCUTTA WOMAN,18.0
455,FACELESS PILOT,18.0
456,PEPPER'S ASSISTANT,18.0
457,GOVERNMENT EMPLOYEE,18.0
458,OFFICER #2,18.0
459,TEXT MESSAGE,18.0
460,MALE NURSE,18.0
461,25TH FLOOR STRIKE AGENT,18.0
462,ALETA,18.0
463,DODC AGENT,18.0
464,SALLY AVRIL,18.0
465,MARJORIE,18.0
466,CROWD,18.0
467,COLLEGE GIRL 2,18.0
468,COUSIN CARLO,18.0
469,AYO,18.0
470,ELDERLY WOMAN,18.0
471,DOME CONTROL,18.0
472,BOY,18.0
473,AVENGERS JIMMY,18.0
474,ATTENDANT,16.0
475,SOLDIER,16.0
476,HAMMER SECURITY GUARD,16.0
477,JAN,16.0
478,COUNCILMAN HAWLEY,16.0
479,HYDRA DISPATCH,16.0
480,PYM TECH SECURITY GUARD,16.0
481,HIDEOUS RABBIT,16.0
482,ROBBER 4,16.0
483,TECH,16.0
484,BARTENDER,16.0
485,AVENGERS KID,16.0
486,A1 NATASHA,16.0
487,REPORTER # 1,14.0
488,ANNOUNCEMENT,14.0
489,ORDERLY,14.0
490,EAGER TOWNIE,14.0
491,SOLDIERS,14.0
492,BARKEEPER,14.0
493,HYDRA SOLDIER,14.0
494,SCIENTIST,14.0
495,OFF SCREEN WORKER,14.0
496,VANESSA,14.0
497,ASGARDIAN EINHERJAR,14.0
498,PATIENT,14.0
499,WOMAN ON TRAIN,14.0
500,SHIELD AGENT #2,14.0
501,ZRINKA,14.0
502,DAY SLEEPER,14.0
503,OLD MAN,14.0
504,VOICEMAIL,14.0
505,THAI WAITER,14.0
506,MR. HAPGOOD,14.0
507,FAMILIES,14.0
508,FBI AGENT 1,14.0
