,year,avg_compound
0,2010,0.10426404040404028
1,2008,0.0708513828238718
2,2016,0.05740537634408602
3,2015,0.050207158836688914
4,2017,0.04761899079440845
5,2013,0.046778202115158526
6,2019,0.03484857302742019
7,2011,0.03444324324324317
8,2012,0.017931822971549
9,2018,0.013108818126148199
10,2014,0.00897933168316832
